cc_num,trans_month,trans_hour,gender,city_pop,age,category,amt,predict
3534093764340240,1,0,M,1939,56,shopping_net,58.97,Normal
4642894980163,1,16,M,7297,32,entertainment,70.81,Normal
630412733309,1,18,F,1038,58,grocery_pos,274.52,Penipuan
6011360759745864,1,16,M,6018,75,shopping_pos,67.0,Normal
5559857416065248,2,11,M,589,77,home,45.0,Normal
5559857416065248,2,11,M,589,77,home,1000.0,Normal
5559857416065248,2,11,M,589,77,home,1000000.0,Normal
630412733309,2,11,F,1038,58,shopping_net,1000.0,Normal
630412733309,2,11,F,1038,58,grocery_pos,99999999999999.0,Normal
630412733309,2,11,F,1038,58,grocery_pos,3295.76,Normal
630412733309,2,11,F,1038,58,grocery_pos,426377588546.0,Normal
4642894980163,2,14,M,7297,32,home,0.0,Normal
